Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
6183.Smp_000075.1,0.04301922470847778,0.00772395856145115,2.666600427036131e-05,0.46925642843642695,0.48448610213316096
6183.Smp_129350.1,0.09817207689883391,0.011896526841254975,0.00047217116389405503,0.5058223504800056,0.24206592930173984
6183.Smp_165490.1,0.22218720453829183,0.03647909290765415,0.0015601641698235595,0.5527279615058663,0.29615893773059715
6183.Smp_150850.2,0.09832965647652063,0.016791832412386357,0.0001320572526427493,0.5043340461485734,0.44810058855002677
6183.Smp_156700.1,0.046013236684525685,0.007039297141563103,7.149903034193247e-05,0.48125668768540825,0.3310737654756861
6183.Smp_034670.1,0.1025843050740624,0.014899591967939423,0.000518522975836018,0.5114516637353476,0.2888195675292449
6183.Smp_152710.2,0.013867002836432397,0.0009518424194119414,1.759575379147077e-05,0.4447405771611719,0.3388192267502612
6183.Smp_012750.1,0.10069335014182161,0.012887182566434157,0.00034039544558294105,0.5042939432505018,0.3922861445930897
6183.Smp_052710.1,0.01764891270091396,0.0011145317583966265,9.498283106987594e-06,0.4047482692142645,0.8014800514800515
6183.Smp_129920.1,0.012133627481878347,0.0012184536631081367,2.447859778452932e-06,0.4201669955159872,0.3133971291866029
6183.Smp_212510.1,0.049007248660573585,0.006031847129712667,1.0147883418774468e-05,0.46505834350064607,0.6656363447775127
6183.Smp_021160.1,0.13236684525685471,0.02017441188478964,0.00041368189535709207,0.5202198860075721,0.31922072762358816
6183.Smp_172420.1,0.19571383548692087,0.029588439189844593,0.001843167002494456,0.5431190057650347,0.25638640076505753
6183.Smp_018710.1,0.024109675386069965,0.0040897649701200234,7.1774636725630455e-06,0.4622449439007515,0.414000687994496
6183.Smp_150370.1,0.022691459186889376,0.004496024606874883,7.4993609865826785e-06,0.4515807911078261,0.5785742035742035
6183.Smp_170540.1,0.026630948629057672,0.004667681734144872,1.3794103631884855e-05,0.451548638684109,0.48231896308819383
