Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
7227.FBpp0084966,0.0344675209898365,0.008973991111999908,4.396359795426746e-05,0.4239901599904999,0.4361610968294773
7227.FBpp0070814,0.00963323022536456,0.002677004384442029,5.62706255624731e-05,0.40293074355367825,0.34267753992524635
7227.FBpp0088286,0.00035351303579319487,1.6502139198269622e-05,1.0156687772320311e-07,0.3054340526927098,0.16666666666666666
7227.FBpp0293897,0.05046398585947857,0.017861046455060373,0.0002980254435746354,0.45495554028826507,0.2303622453682367
7227.FBpp0076752,0.012284577993813522,0.002226338989109704,4.8913343378876435e-06,0.388436229737514,0.19382754665832552
7227.FBpp0077645,0.02262483429076447,0.006775705921863785,0.0001205751288404365,0.42256887470842247,0.3105392156862745
7227.FBpp0271927,0.011577551922227132,0.0009193665479005551,1.8482046715103228e-06,0.34030586094117377,0.5377568995889607
7227.FBpp0078445,0.0020326999558108703,0.0007460920401913709,2.388314850433789e-06,0.3502061313368903,0.7233201581027668
7227.FBpp0073779,0.004949182501104728,0.0012001534608033486,4.857025508208225e-06,0.3801187065393399,0.672077922077922
7227.FBpp0071116,0.03216968625718073,0.006389806657825034,0.00038759372504666646,0.4434292566897995,0.17750431386795024
7227.FBpp0081980,0.0014140521431727795,0.0004543111250305254,1.1274732587936487e-06,0.37371185581788136,0.19166666666666668
7227.FBpp0292877,0.012903225806451613,0.0022218769792919806,0.00020964071261347897,0.4159265820237494,0.09220595181861124
7227.FBpp0074019,0.01104728236853734,0.0010133373763002334,1.4762743991461719e-05,0.3683862624694998,0.31625806451612903
7227.FBpp0075397,0.0410075121520106,0.011632931102378521,0.00026063486553833055,0.4542371603509704,0.22444514783644895
7227.FBpp0083959,0.001855943437914273,0.0005954673975437743,5.25596720900169e-07,0.3563688337306593,0.4380952380952381
7227.FBpp0071848,0.034202386212991605,0.012817488307213139,0.0003896892974557701,0.4407638730065458,0.2594690123308029
7227.FBpp0071243,0.005214317277949625,0.0025536259401909072,2.251122721076779e-06,0.39481994733631115,0.24313267095265925
7227.FBpp0081906,0.0020326999558108703,6.455137976358745e-05,4.338099126202431e-06,0.32224275113478335,0.3952569169960474
7227.FBpp0079119,0.003181617322138754,0.0001871799267126768,1.1460986474080787e-05,0.34161146164997924,0.35079365079365077
7227.FBpp0071325,8.837825894829872e-05,4.8614791115796325e-05,0.0,0.3215685065065957,0.0
7227.FBpp0084091,0.04038886433937251,0.019161572590689364,0.000115390902175569,0.4536861022891592,0.3223348305117279
7227.FBpp0072164,0.03764913831197525,0.01419837657196062,0.00022665180558643046,0.44694461092775944,0.19860811930405964
7227.FBpp0293006,0.041361025187803796,0.007271907332650075,0.00048040375731073676,0.43262266700762025,0.05766943026043669
7227.FBpp0300207,0.0005302695536897922,0.0001690752369353765,1.0907810090527223e-07,0.337958358391078,0.13333333333333333
7227.FBpp0078765,0.0273972602739726,0.0067637156309234316,0.0002439266596515462,0.4223461686308017,0.3323728990500052
7227.FBpp0292356,0.04401237295625276,0.017739007727865345,0.00012269403333011302,0.45104139356390677,0.32294974667280796
7227.FBpp0084115,0.109765797613787,0.03921722176316963,0.0010058123406955755,0.48452617678724325,0.1953920076401946
7227.FBpp0085075,0.008130799823243481,0.001908124134031666,3.6637057959129644e-05,0.40896743424009835,0.1505016722408027
7227.FBpp0072500,0.0011489173663278833,0.00010340445760538998,7.976302376798374e-06,0.3373993631513478,0.038461538461538464
7227.FBpp0079350,0.015642951833848874,0.006248653162053726,0.00014094947274945844,0.42538877771701744,0.3366076014381099
7227.FBpp0078336,0.019885108263367212,0.008289454589742461,8.736817501555394e-05,0.43520709195502605,0.3134920634920635
7227.FBpp0076410,0.007777286787450287,0.0024080747113226896,0.00019595837519676857,0.39386356410421686,0.28735632183908044
