Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering,SubgraphCentrality,is_essential
4932.YKL015W,0.022055373064289,0.0026533525708841,3.377439434591254e-05,0.4791276324664618,0.2581560283687943,3.686386194894878e+248,0
4932.YBR285W,0.021116846550915,0.0016428800298861,4.026953650000683e-05,0.4736608135141142,0.3650635710337203,1.4131360814640932e+248,0
4932.YER172C-A,0.0001564210855623,1.914745572215654e-05,0.0,0.339421290151314,0.0,1.9188828068522453e+244,0
4932.YDL030W,0.0641326450805568,0.0128252163338679,0.0001063562502879,0.499804550074271,0.3213548810304729,8.615631180667529e+249,1
4932.YHR214C-D,0.00938526513374,0.0003209093885028,2.646333377252973e-06,0.4022272555681389,0.6632768361581921,5.393328239316095e+246,0
4932.YAL020C,0.0702330674174878,0.0123090421836175,0.0002133104019583,0.5016084739113378,0.2415785077951002,7.933642494871768e+249,0
4932.YGR286C,0.0586579070858751,0.0086547550713883,0.0001887248679315,0.4952358819428306,0.2313725490196078,3.92297351914736e+249,0
4932.YMR325W,0.007977475363679,0.000477707807141,1.485375911797136e-05,0.4348387974425248,0.3427450980392157,1.1949279410085893e+247,0
4932.YLR466C-B,0.0010949475989363,2.9894522365451444e-05,9.724140917844657e-09,0.3454555279368853,0.9047619047619048,4.6785144151115086e+244,0
4932.YJL129C,0.0505240106366338,0.0077249715860508,0.0001384815147888,0.4945845582546805,0.1849316385593138,3.1252194373100834e+249,0
4932.YJR076C,0.0516189582355701,0.0072822893253994,0.0001187321289514,0.4966980032631497,0.2457953394123607,2.7766153589999115e+249,1
4932.YML007C-A,0.0043797903957453,0.0002625150541821,3.281140606958684e-06,0.4074310114078134,0.2777777777777778,3.608655748546561e+246,0
4932.YDR161W,0.0469263256687001,0.0124338630327346,1.914499548835311e-05,0.4839881898705428,0.6411371237458194,8.100426823133508e+249,0
4932.YPL098C,0.0334741123103394,0.0053162781617273,3.655519360870103e-05,0.4820903400950154,0.2736606555219165,1.4804226124096155e+249,0
4932.YPR069C,0.0855623338025965,0.0194485511293057,0.0001672444453798,0.5061757719714964,0.310946822829821,1.9813570934882906e+250,0
4932.YMR040W,0.0218989519787267,0.0031009012802425,2.911615216222765e-05,0.4807489848097458,0.1821171634121274,5.03535625846938e+248,0
4932.YLR322W,0.004223369310183,0.0004076338113258,7.504722055642492e-07,0.416156750423122,0.4415954415954416,8.699491869984097e+246,0
4932.YMR260C,0.1370248709526044,0.0342813747521033,0.000356747158335,0.5243602362204725,0.3497742987606001,6.15655309977386e+250,1
4932.YMR230W,0.0771155951822305,0.0214803031968725,5.01104270751555e-05,0.5041400520463686,0.5215208034433285,2.4172625183573905e+250,0
4932.YBL106C,0.026748005631159,0.0035389410117797,3.8979615212325095e-05,0.4802073161571396,0.2885448916408669,6.556831001974111e+248,0
4932.YLL051C,0.027217268887846,0.0028830222772692,5.012725964008862e-05,0.4830374008311295,0.2199189422629725,4.351712865351249e+248,0
4932.YDR149C,0.00469263256687,0.0004432406761755,6.09148625403277e-07,0.4040321051633698,0.6597701149425287,1.0286402796280358e+247,0
4932.YPR093C,0.0633505396527451,0.0112616487852767,0.0001294598323006,0.5011366308693267,0.2255103288106588,6.641363417326958e+249,0
4932.YLL053C,0.0333176912247771,0.0045036339153025,8.637963157235813e-05,0.4845751534904873,0.2081229515457525,1.062119833949217e+249,0
4932.YIR003W,0.0156421085562333,0.001786345158754,3.168076073673084e-05,0.4735906363434328,0.2129292929292929,1.6708471025891706e+248,0
4932.YDR536W,0.0386360081338964,0.0041306257842085,0.0001294154121177,0.487419945105215,0.1929495408314407,8.933188147085648e+248,0
4932.YOR110W,0.0306585327702174,0.0050031274551635,6.098985398314303e-05,0.4859379750684098,0.2132914704343275,1.3108614633715678e+249,1
4932.YEL008W,0.0029720006256843,0.0002288707094429,6.241648929184113e-06,0.3985412380774266,0.2105263157894736,2.7428389644788042e+246,0
4932.YJL135W,0.000469263256687,4.534457959839481e-05,7.788969347222644e-08,0.3434327155519742,0.0,1.0773727280532876e+245,0
4932.YCL055W,0.0384795870483341,0.0058767882072534,0.0001401254972324,0.49052405432364,0.1746142359382777,1.808816825454289e+249,0
4932.YKL225W,0.007977475363679,0.0003254948999699,7.48073027146675e-05,0.4080030633735401,0.3254901960784314,5.5483620080988186e+246,0
4932.YDR072C,0.0326920068825277,0.003254024715473,0.0001665582781609,0.4904864201319626,0.1649337504600662,5.544331173767877e+248,0
4932.YGR115C,0.0003128421711246,4.434186545096635e-06,3.9138502785900933e-07,0.324320211038961,0.0,1.0290719133903733e+243,0
4932.YMR246W,0.0564680118880025,0.0072488127931887,0.0002566350903216,0.4970842080709121,0.1829485995690981,2.751555662299011e+249,0
4932.YKL130C,0.0323791647114031,0.0046036504516176,0.0001450216159767,0.4870115030090652,0.1748979878992542,1.1099123427831855e+249,0
4932.YDR440W,0.0481776943531988,0.0083288998547987,8.062771408067794e-05,0.4937442075996293,0.2974533609712763,3.632620147357623e+249,0
4932.YMR237W,0.0184576880963553,0.0023812195596556,2.2677377319125292e-05,0.4744693483746475,0.2307692307692307,2.969223566170854e+248,0
4932.YPL161C,0.0292507430001564,0.0031825946642146,8.812753939823999e-05,0.4827456014498225,0.1925708699902248,5.303251470560305e+248,0
4932.YDR392W,0.0553730642890661,0.0084081547857586,0.0001470561626919,0.4980911569925983,0.2393367583745458,3.702040248935224e+249,0
4932.YMR186W,0.2293133114343813,0.0439381272557257,0.0015612867234868,0.555961387946778,0.1963486350450949,1.0110628676315491e+251,0
4932.YEL057C,0.027217268887846,0.005527578388399,6.690823037672835e-05,0.464202730177171,0.3868845923858879,1.6007971400935271e+249,0
4932.YDL045W-A,0.0366025340215861,0.0081299084149407,3.777858814346846e-05,0.4832199546485261,0.508381937566487,3.462697060460477e+249,0
4932.YLR047C,0.0250273736899734,0.0029712957465514,4.417321466138972e-05,0.4781958261650086,0.2438679245283019,4.622364498686515e+248,0
4932.YKL096C-B,0.0020334741123103,0.0003616025797684,1.3321926780984305e-07,0.3875250045462811,0.6410256410256411,6.8488766550397266e+246,0
4932.YKL196C,0.0714844361019865,0.009874268231677,0.0001829960765983,0.5023179068122888,0.2336941917156128,5.105294231304746e+249,1
4932.YEL043W,0.0165806350696073,0.0017900792373476,3.68364567376044e-05,0.476911600149198,0.2206648697214735,1.677745957180998e+248,0
4932.YBL030C,0.0971374941342093,0.0202212778078385,0.0003292386338576,0.5130818619582664,0.2590099215625162,2.1418142372706282e+250,1
4932.YPL265W,0.0334741123103394,0.0032972245215445,0.0001026855503195,0.4887988378316385,0.1972269755605283,5.692604777438411e+248,0
4932.YJL208C,0.0606913811981855,0.0127167162176699,0.0001397227858343,0.4982464344166472,0.2988625163163643,8.471816943205173e+249,0
4932.YOR250C,0.0278429532300954,0.0042564639861548,7.64297181835796e-05,0.479738856371004,0.1856789183012759,9.489355054891109e+248,1
4932.YLL048C,0.0522446425778194,0.007265625509276,0.0001461312980392,0.4952358819428306,0.1890093686500872,2.7643291499755805e+249,0
