Orthogroup	Saccharomyces_cerevisiae.R64-1-1.pep.all	Schistossoma
OG0000068	YOR269W, YKL021C	6183.Smp_045620.1, 6183.Smp_049520.1, 6183.Smp_194900.1, 6183.Smp_019680.1, 6183.Smp_125280.1
OG0000069	YBL003C, YDR225W	6183.Smp_060760.1, 6183.Smp_089840.1, 6183.Smp_082750.1, 6183.Smp_123850.1, 6183.Smp_176670.1, 6183.Smp_056420.1, 6183.Smp_002930.1, 6183.Smp_089870.1
OG0000070	YHR005C, YER020W	6183.Smp_132750.1, 6183.Smp_005790.1, 6183.Smp_074510.1, 6183.Smp_032750.1, 6183.Smp_016630.1, 6183.Smp_020080.1, 6183.Smp_032740.1, 6183.Smp_016250.2
OG0000071	YGR067C, YJR127C, YML081W, YDR216W, YGL035C, YER028C, YGL209W	6183.Smp_040390.1, 6183.Smp_018170.1, 6183.Smp_066930.1
OG0000072	YPL230W, YMR182C	6183.Smp_151950.1, 6183.Smp_181630.1, 6183.Smp_158490.1, 6183.Smp_049160.1, 6183.Smp_152210.1, 6183.Smp_075230.1, 6183.Smp_124090.1, 6183.Smp_128060.1
OG0000073	YBR094W	6183.Smp_158370.1, 6183.Smp_043920.1, 6183.Smp_210200.1, 6183.Smp_155240.1, 6183.Smp_074830.1, 6183.Smp_163450.1, 6183.Smp_181160.1, 6183.Smp_161800.1, 6183.Smp_173320.1
OG0000080	YCR100C, YIL173W, YNR065C, YBL017C, YJL222W, YNR066C, YCR101C, YCR099C	6183.Smp_179360.1
OG0000084	YDR373W	6183.Smp_153320.1, 6183.Smp_000170.1, 6183.Smp_085650.1, 6183.Smp_106110.1, 6183.Smp_151600.1, 6183.Smp_068510.1, 6183.Smp_158980.1, 6183.Smp_158990.1
OG0000085	YDL056W, YER111C, YLR182W	6183.Smp_154020.1, 6183.Smp_139110.1, 6183.Smp_145700.1, 6183.Smp_198650.1, 6183.Smp_143370.1, 6183.Smp_130400.1
OG0000086	YBR159W	6183.Smp_117920.1, 6183.Smp_168560.1, 6183.Smp_084570.1, 6183.Smp_168550.1, 6183.Smp_009430.1, 6183.Smp_102190.1, 6183.Smp_178940.1, 6183.Smp_131430.1
OG0000102	YPL088W, YPR127W, YOL165C, YCR107W, YJR155W, YDL243C, YNL331C	6183.Smp_012380.1
OG0000103	Q0070, Q0075, Q0055, Q0050, Q0060, Q0065, Q0045	6183.Smp_900000.1
OG0000104	YOR212W	6183.Smp_075130.1, 6183.Smp_063640.1, 6183.Smp_010230.1, 6183.Smp_094480.1, 6183.Smp_042530.1, 6183.Smp_158700.1, 6183.Smp_094570.1
OG0000106	YIL159W, YNL271C	6183.Smp_145500.1, 6183.Smp_146810.1, 6183.Smp_161110.1, 6183.Smp_068720.1, 6183.Smp_144430.1, 6183.Smp_141590.2
OG0000107	YGR055W, YHL036W	6183.Smp_127000.1, 6183.Smp_083990.1, 6183.Smp_054010.1, 6183.Smp_151090.1, 6183.Smp_150990.1, 6183.Smp_151000.1
OG0000110	YJL093C	6183.Smp_046650.1, 6183.Smp_034850.1, 6183.Smp_155970.1, 6183.Smp_141570.1, 6183.Smp_127170.1, 6183.Smp_046640.1, 6183.Smp_147550.1
OG0000111	YMR154C	6183.Smp_130920.1, 6183.Smp_083530.1, 6183.Smp_159550.1, 6183.Smp_137410.1, 6183.Smp_089460.2, 6183.Smp_003980.1, 6183.Smp_157500.1
OG0000112	YPL104W	6183.Smp_178380.1, 6183.Smp_179140.1, 6183.Smp_194140.1, 6183.Smp_190720.1, 6183.Smp_199340.1, 6183.Smp_088800.1, 6183.Smp_194150.1
OG0000125	YPR065W	6183.Smp_148110.1, 6183.Smp_076600.1, 6183.Smp_180820.1, 6183.Smp_155690.1, 6183.Smp_179780.1, 6183.Smp_161600.1
OG0000126	YGR082W	6183.Smp_180470.1, 6183.Smp_064870.1, 6183.Smp_082830.1, 6183.Smp_043040.1, 6183.Smp_103920.1, 6183.Smp_136210.1
OG0000127	Q0255, Q0160, Q0105, Q0115, Q0110, Q0120	6183.Smp_900070.1
OG0000130	YER031C, YGL210W	6183.Smp_173990.1, 6183.Smp_190370.1, 6183.Smp_023550.1, 6183.Smp_134000.1, 6183.Smp_005670.1
OG0000131	YFL054C, YLL043W	6183.Smp_125200.1, 6183.Smp_125210.1, 6183.Smp_125220.1, 6183.Smp_005720.1, 6183.Smp_005740.1
OG0000132	YDR379W, YOR127W	6183.Smp_138150.1, 6183.Smp_028030.1, 6183.Smp_186680.1, 6183.Smp_139070.1, 6183.Smp_049380.1
